exp_version,subject_num,trial_num,information,decision,mod2_linear,mod3_entropy,mod4_res_uncertainty
EXP1,624_TN,25,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,26,slots visible: 0,1,0,0,0
EXP1,624_TN,27,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,28,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,29,slots visible: 1,0,0.2,0.104,0
EXP1,624_TN,30,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,31,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,32,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,33,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,34,slots visible: 5,1,1,1,1
EXP1,624_TN,35,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,36,slots visible: 5,1,1,1,1
EXP1,624_TN,37,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,38,slots visible: 0,1,0,0,0
EXP1,624_TN,39,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,40,slots visible: 1,1,0.2,0.104,0
EXP1,624_TN,41,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,42,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,43,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,44,slots visible: 1,1,0.2,0.104,0
EXP1,624_TN,45,slots visible: 1,1,0.2,0.104,0
EXP1,624_TN,46,slots visible: 1,1,0.2,0.104,0
EXP1,624_TN,47,slots visible: 5,1,1,1,1
EXP1,624_TN,48,slots visible: 0,1,0,0,0
EXP1,624_TN,49,slots visible: 1,0,0.2,0.104,0
EXP1,624_TN,50,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,51,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,52,slots visible: 5,1,1,1,1
EXP1,624_TN,53,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,54,slots visible: 5,1,1,1,1
EXP1,624_TN,55,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,56,slots visible: 0,1,0,0,0
EXP1,624_TN,57,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,58,slots visible: 0,1,0,0,0
EXP1,624_TN,59,slots visible: 5,1,1,1,1
EXP1,624_TN,60,slots visible: 0,1,0,0,0
EXP1,624_TN,61,slots visible: 5,1,1,1,1
EXP1,624_TN,62,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,63,slots visible: 0,1,0,0,0
EXP1,624_TN,64,slots visible: 5,1,1,1,1
EXP1,624_TN,65,slots visible: 5,1,1,1,1
EXP1,624_TN,66,slots visible: 1,1,0.2,0.104,0
EXP1,624_TN,67,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,68,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,69,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,70,slots visible: 0,1,0,0,0
EXP1,624_TN,71,slots visible: 0,1,0,0,0
EXP1,624_TN,72,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,73,slots visible: 0,1,0,0,0
EXP1,624_TN,74,slots visible: 5,1,1,1,1
EXP1,624_TN,75,slots visible: 1,1,0.2,0.104,0
EXP1,624_TN,76,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,77,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,78,slots visible: 0,1,0,0,0
EXP1,624_TN,79,slots visible: 5,1,1,1,1
EXP1,624_TN,80,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,81,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,82,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,83,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,84,slots visible: 1,1,0.2,0.104,0
EXP1,624_TN,85,slots visible: 0,1,0,0,0
EXP1,624_TN,86,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,87,slots visible: 1,1,0.2,0.104,0
EXP1,624_TN,88,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,89,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,90,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,91,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,92,slots visible: 5,1,1,1,1
EXP1,624_TN,93,slots visible: 0,1,0,0,0
EXP1,624_TN,94,slots visible: 0,1,0,0,0
EXP1,624_TN,95,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,96,slots visible: 1,1,0.2,0.104,0
EXP1,624_TN,97,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,98,slots visible: 1,1,0.2,0.104,0
EXP1,624_TN,99,slots visible: 5,1,1,1,1
EXP1,624_TN,100,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,101,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,102,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,103,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,104,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,105,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,106,slots visible: 1,1,0.2,0.104,0
EXP1,624_TN,107,slots visible: 5,1,1,1,1
EXP1,624_TN,108,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,109,slots visible: 5,1,1,1,1
EXP1,624_TN,110,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,111,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,112,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,113,slots visible: 0,1,0,0,0
EXP1,624_TN,114,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,115,slots visible: 0,1,0,0,0
EXP1,624_TN,116,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,117,slots visible: 1,1,0.2,0.104,0
EXP1,624_TN,118,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,119,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,120,slots visible: 1,1,0.2,0.104,0
EXP1,624_TN,121,slots visible: 1,1,0.2,0.104,0
EXP1,624_TN,122,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,123,slots visible: 5,1,1,1,1
